ID,Origin_LONG,Origin_LAT,Destination_LONG,Destination_LAT,DIST,DUR,,,,,,
177,-43.887816,-19.628894,-43.88001,-19.634109,0,0,,,,,0,0
178,-43.887816,-19.628894,-43.898519,-19.622424,0,0,,,,,0,0
179,-43.887816,-19.628894,-43.900916,-19.624481,0,0,,,,,0,0
180,-43.887816,-19.628894,-43.887247,-19.633683,0,0,,,,,0,0
181,-43.887816,-19.628894,-43.894431,-19.625344,0,0,,,,,0,0
182,-43.887816,-19.628894,-43.893167,-19.626828,0,0,,,,,0,0
183,-43.887816,-19.628894,-43.883963,-19.650202,0,0,,,,,0,0
184,-43.887816,-19.628894,-43.886291,-19.647427,0,0,,,,,0,0
185,-43.887816,-19.628894,-43.908902,-19.634638,0,0,,,,,0,0
186,-43.887816,-19.628894,-43.908705,-19.635958,0,0,,,,,0,0
187,-43.887816,-19.628894,-43.91027,-19.629123,0,0,,,,,0,0
188,-43.887816,-19.628894,-43.907624,-19.630851,0,0,,,,,0,0
189,-43.887816,-19.628894,-43.906315,-19.605177,0,0,,,,,0,0
190,-43.887816,-19.628894,-43.904322,-19.603605,0,0,,,,,0,0
191,-43.887816,-19.628894,-43.877541,-19.63967,0,0,,,,,0,0
192,-43.887816,-19.628894,-43.875605,-19.639262,0,0,,,,,0,0
193,-43.887816,-19.628894,-43.894747,-19.621918,0,0,,,,,0,0
194,-43.887816,-19.628894,-43.892466,-19.623253,0,0,,,,,0,0
195,-43.887816,-19.628894,-43.90424,-19.615692,0,0,,,,,0,0
196,-43.887816,-19.628894,-43.905849,-19.615717,0,0,,,,,0,0
197,-43.887816,-19.628894,-43.906026,-19.615777,0,0,,,,,0,0
198,-43.887816,-19.628894,-43.908313,-19.621627,0,0,,,,,0,0
199,-43.887816,-19.628894,-43.862806,-19.599422,0,0,,,,,0,0
200,-43.887816,-19.628894,-43.893944,-19.657715,0,0,,,,,0,0
201,-43.887816,-19.628894,-43.901936,-19.595025,0,0,,,,,0,0
202,-43.887816,-19.628894,-43.901976,-19.593303,0,0,,,,,0,0
203,-43.887816,-19.628894,-43.901848,-19.596393,0,0,,,,,0,0
204,-43.887816,-19.628894,-43.901741,-19.597045,0,0,,,,,0,0
205,-43.887816,-19.628894,-43.868917,-19.660512,0,0,,,,,0,0
206,-43.887816,-19.628894,-43.867017,-19.657715,0,0,,,,,0,0
207,-43.887816,-19.628894,-43.912076,-19.6796,0,0,,,,,0,0
208,-43.887816,-19.628894,-43.914368,-19.680459,0,0,,,,,0,0
209,-43.887816,-19.628894,-43.888611,-19.676222,0,0,,,,,0,0
210,-43.887816,-19.628894,-43.890232,-19.677258,0,0,,,,,0,0
211,-43.887816,-19.628894,-43.892038,-19.618388,0,0,,,,,0,0
212,-43.887816,-19.628894,-43.888789,-19.616173,0,0,,,,,0,0
213,-43.887816,-19.628894,-43.904396,-19.627922,0,0,,,,,0,0
214,-43.887816,-19.628894,-43.905374,-19.629867,0,0,,,,,0,0
215,-43.887816,-19.628894,-43.876015,-19.580069,0,0,,,,,0,0
216,-43.887816,-19.628894,-43.885587,-19.597796,0,0,,,,,0,0
217,-43.887816,-19.628894,-43.908844,-19.601224,0,0,,,,,0,0
218,-43.887816,-19.628894,-43.909191,-19.604362,0,0,,,,,0,0
219,-43.887816,-19.628894,-43.894523,-19.686792,0,0,,,,,0,0
220,-43.887816,-19.628894,-43.91043,-19.662867,0,0,,,,,0,0
221,-43.887816,-19.628894,-51.404239,-19.182251,0,0,,,,,0,0
222,-43.887816,-19.628894,-51.371731,-19.135087,0,0,,,,,0,0
223,-43.887816,-19.628894,-51.397089,-19.184271,0,0,,,,,0,0
224,-43.886362,-19.623762,-43.887816,-19.628894,1059,145,,,,,1058.7,144.65
225,-43.886362,-19.623762,-43.886362,-19.623762,0,0,,,,,0,0
226,-43.886362,-19.623762,-43.882329,-19.637045,2368,263,,,,,2367.59,263.1
227,-43.886362,-19.623762,-43.885555,-19.638949,2200,233,,,,,2200.29,232.93
228,-43.886362,-19.623762,-43.882628,-19.639586,2420,313,,,,,2420.13,312.83
229,-43.886362,-19.623762,-43.869021,-19.640799,3907,445,,,,,3906.56,444.67
230,-43.886362,-19.623762,-43.8721,-19.645243,4072,397,,,,,4072.22,397.35
231,-43.886362,-19.623762,-43.878554,-19.649927,3959,414,,,,,3958.92,413.65
