Region	Pop	Flow
	L[313760105000255]	215
	L[313760105000255]*	10
M[313760105000144]	84
	L[313760105000271]	63
	L[313760105000271]*	3
	L[SHC1]	12
	L[SHC1]*	0
	L[THC1]	4
	L[THC1]*	0
M[313760105000145]	382
	L[313760105000271]	287
	L[313760105000271]*	14
	L[SHC1]	57
	L[SHC1]*	2
	L[THC1]	19
	L[THC1]*	0
M[313760105000146]	68
	L[313760105000264]	64
	L[313760105000264]*	3
M[313760105000147]	306
	L[313760105000178]	291
	L[313760105000178]*	14
M[313760105000150]	545
	L[313760105000150]	545
M[313760105000151]	290
	L[313760105000150]	276
	L[313760105000150]*	13
M[313760105000152]	124
	L[313760115000014]	118
	L[313760115000014]*	5
M[313760105000161]	452
	L[313760105000235]	340
	L[313760105000235]*	17
	L[SHC1]	67
	L[SHC1]*	3
	L[THC1]	22
	L[THC1]*	1
M[313760105000162]	327
	L[313760105000139]	311
	L[313760105000139]*	15
M[313760105000163]	322
	L[313760105000139]	306
	L[313760105000139]*	15
M[313760105000164]	490
	L[313760105000150]	466
	L[313760105000150]*	23
M[313760105000165]	265
	L[313760105000125]	201
	L[313760105000125]*	10
	L[SHC1]	39
	L[SHC1]*	1
	L[THC1]	10
	L[THC1]*	0
M[313760105000166]	385
	L[313760105000235]	308
	L[313760105000235]*	15
	L[SHC1]	57
	L[SHC1]*	2
M[313760105000167]	333
	L[313760105000285]	317
	L[313760105000285]*	15
M[313760105000168]	312
	L[313760105000168]	312
M[313760105000169]	241
	L[313760105000168]	181
	L[313760105000168]*	9
	L[SHC1]	36
	L[SHC1]*	1
	L[THC1]	12
	L[THC1]*	0
M[313760105000170]	417
	L[313760105000102]	313
	L[313760105000102]*	15
	L[SHC1]	62
	L[SHC1]*	3
	L[THC1]	20
	L[THC1]*	1
M[313760105000171]	382
	L[313760105000201]	312
	L[313760105000201]*	15
	L[SHC1]	50
	L[SHC1]*	2
M[313760105000172]	123
	L[313760105000178]	117
	L[313760105000178]*	5
M[313760105000173]	187
	L[313760105000235]	178
	L[313760105000235]*	8
M[313760105000174]	153
	L[313760105000235]	145
	L[313760105000235]*	7
M[313760105000175]	238
	L[313760105000132]	226
	L[313760105000132]*	11
M[313760105000176]	316
	L[313760105000168]	237
	L[313760105000168]*	11
	L[SHC1]	47
	L[SHC1]*	2
	L[THC1]	15
	L[THC1]*	0
M[313760105000177]	320
	L[313760105000178]	304
	L[313760105000178]*	15
M[313760105000178]	361
	L[313760105000178]	361
M[313760105000179]	231
	L[313760105000178]	185
